date,province,confirmed,deaths,recovered
2020-06-15,GB,1143,17,728
2020-06-15,Islamabad,8857,83,2037
2020-06-15,KPK,18472,707,4692
2020-06-15,Punjab,55878,1081,17730
2020-06-15,Sindh,55581,853,28023
2020-06-16,AJK,703,13,290
2020-06-16,Balochistan,8437,89,3023
2020-06-16,GB,1164,17,738
2020-06-16,Islamabad,9242,90,2439
2020-06-16,KPK,19107,731,4922
2020-06-16,Punjab,58239,1149,17780
2020-06-16,Sindh,57868,886,29245
2020-06-17,AJK,740,15,302
2020-06-17,Balochistan,8794,93,3051
2020-06-17,GB,1213,18,768
2020-06-17,Islamabad,9637,94,2439
2020-06-17,KPK,19613,755,5137
2020-06-17,Punjab,60138,1202,17825
2020-06-17,Sindh,59983,916,29693
2020-06-18,AJK,769,15,312
2020-06-18,Balochistan,8998,99,3140
2020-06-18,GB,1225,18,794
2020-06-18,Islamabad,9941,95,2770
2020-06-18,KPK,20182,773,5441
2020-06-18,Punjab,61678,1265,17892
2020-06-18,Sindh,62269,964,31034
2020-06-19,AJK,803,17,317
2020-06-19,Balochistan,9162,100,3289
2020-06-19,GB,1253,21,816
2020-06-19,Islamabad,10279,95,2770
2020-06-19,KPK,20790,789,5623
2020-06-19,Punjab,64216,1347,17964
2020-06-19,Sindh,65163,1013,32725
2020-06-20,AJK,813,19,336
2020-06-20,Balochistan,9328,100,3472
2020-06-20,GB,1278,21,837
2020-06-20,Islamabad,10662,98,4380
2020-06-20,KPK,21444,808,6063
2020-06-20,Punjab,65739,1407,18692
2020-06-20,Sindh,67353,1048,34112
2020-06-21,AJK,845,20,348
2020-06-21,Balochistan,9475,102,3650
2020-06-21,GB,1288,22,865
2020-06-21,Islamabad,10912,101,4681
2020-06-21,KPK,21997,821,6536
2020-06-21,Punjab,66943,1435,19100
2020-06-21,Sindh,69628,1089,36278
2020-06-22,AJK,869,22,350
2020-06-22,Balochistan,9587,104,3670
2020-06-22,GB,1326,22,946
2020-06-22,Islamabad,11219,106,5012
2020-06-22,KPK,22633,843,6869
2020-06-22,Punjab,68308,1495,19580
2020-06-22,Sindh,71092,1103,37044
2020-06-23,AJK,892,23,366
2020-06-23,Balochistan,9634,106,3694
2020-06-23,GB,1337,23,961
2020-06-23,Islamabad,11483,108,5012
2020-06-23,KPK,23388,855,9385
2020-06-23,Punjab,69536,1516,19935
2020-06-23,Sindh,72656,1124,38401
2020-06-24,AJK,930,25,390
2020-06-24,Balochistan,9817,108,3710
2020-06-24,GB,1365,23,995
2020-06-24,Islamabad,11710,115,5424
2020-06-24,KPK,23887,869,11097
2020-06-24,Punjab,71191,1602,20262
2020-06-24,Sindh,74070,1161,39429
2020-06-25,AJK,962,25,395
2020-06-25,Balochistan,9946,109,3737
2020-06-25,GB,1398,23,999
2020-06-25,Islamabad,11981,119,5839
2020-06-25,KPK,24303,879,11449
2020-06-25,Punjab,71987,1629,21009
2020-06-25,Sindh,75168,1178,40740
2020-06-26,AJK,1003,28,446
2020-06-26,Balochistan,10116,113,3768
2020-06-26,GB,1417,23,1027
2020-06-26,Islamabad,12206,120,6529
2020-06-26,KPK,24943,890,11804
2020-06-26,Punjab,72880,1656,21340
2020-06-26,Sindh,76318,1205,41992
2020-06-27,AJK,1027,28,465
2020-06-27,Balochistan,10261,114,3810
2020-06-27,GB,1423,24,1062
2020-06-27,Islamabad,12395,122,6532
2020-06-27,KPK,25380,914,12149
2020-06-27,Punjab,74202,1673,25162
2020-06-27,Sindh,78267,1243,43444
2020-06-28,AJK,1049,28,520
2020-06-28,Balochistan,10376,116,3939
2020-06-28,GB,1442,24,1099
2020-06-28,Islamabad,12643,127,6916
2020-06-28,KPK,25778,922,12348
2020-06-28,Punjab,74778,1681,26062
2020-06-28,Sindh,80446,1269,44523
2020-06-29,AJK,1065,28,539
2020-06-29,Balochistan,10426,119,4197
2020-06-29,GB,1470,24,1117
2020-06-29,Islamabad,12775,128,7261
2020-06-29,KPK,26115,935,12626
2020-06-29,Punjab,75501,1727,27147
2020-06-29,Sindh,81985,1343,45616
2020-06-30,AJK,1093,30,550
2020-06-30,Balochistan,10476,121,4484
2020-06-30,GB,1489,26,1128
2020-06-30,Islamabad,12912,128,7261
2020-06-30,KPK,26598,951,13067
2020-06-30,Punjab,76262,1762,27488
2020-06-30,Sindh,84640,1377,46824
2020-07-01,AJK,1135,32,557
