Alue;Aika;val
Pohjois-Savon SHP;2020-07-29;
Keski-Suomen SHP;2020-07-29;
Etelä-Pohjanmaan SHP;2020-07-29;
Vaasan SHP;2020-07-29;
Keski-Pohjanmaan SHP;2020-07-29;
Pohjois-Pohjanmaan SHP;2020-07-29;
Kainuun SHP;2020-07-29;
Länsi-Pohjan SHP;2020-07-29;
Lapin SHP;2020-07-29;
Helsingin ja Uudenmaan SHP;2020-07-29;
Kaikki Alueet;2020-07-29;
Ahvenanmaa;2020-07-30;
Varsinais-Suomen SHP;2020-07-30;
Satakunnan SHP;2020-07-30;
Kanta-Hämeen SHP;2020-07-30;
Pirkanmaan SHP;2020-07-30;
Päijät-Hämeen SHP;2020-07-30;
Kymenlaakson SHP;2020-07-30;
Etelä-Karjalan SHP;2020-07-30;
Etelä-Savon SHP;2020-07-30;
Itä-Savon SHP;2020-07-30;
Pohjois-Karjalan SHP;2020-07-30;
Pohjois-Savon SHP;2020-07-30;
Keski-Suomen SHP;2020-07-30;
Etelä-Pohjanmaan SHP;2020-07-30;
Vaasan SHP;2020-07-30;
Keski-Pohjanmaan SHP;2020-07-30;
Pohjois-Pohjanmaan SHP;2020-07-30;
Kainuun SHP;2020-07-30;
Länsi-Pohjan SHP;2020-07-30;
Lapin SHP;2020-07-30;
Helsingin ja Uudenmaan SHP;2020-07-30;
Kaikki Alueet;2020-07-30;
Ahvenanmaa;2020-07-31;
Varsinais-Suomen SHP;2020-07-31;
Satakunnan SHP;2020-07-31;
Kanta-Hämeen SHP;2020-07-31;
Pirkanmaan SHP;2020-07-31;
Päijät-Hämeen SHP;2020-07-31;
Kymenlaakson SHP;2020-07-31;
Etelä-Karjalan SHP;2020-07-31;
Etelä-Savon SHP;2020-07-31;
Itä-Savon SHP;2020-07-31;
Pohjois-Karjalan SHP;2020-07-31;
Pohjois-Savon SHP;2020-07-31;
Keski-Suomen SHP;2020-07-31;
Etelä-Pohjanmaan SHP;2020-07-31;
Vaasan SHP;2020-07-31;
Keski-Pohjanmaan SHP;2020-07-31;
Pohjois-Pohjanmaan SHP;2020-07-31;
Kainuun SHP;2020-07-31;
Länsi-Pohjan SHP;2020-07-31;
Lapin SHP;2020-07-31;
Helsingin ja Uudenmaan SHP;2020-07-31;
Kaikki Alueet;2020-07-31;
Ahvenanmaa;2020-08-01;
Varsinais-Suomen SHP;2020-08-01;
Satakunnan SHP;2020-08-01;
Kanta-Hämeen SHP;2020-08-01;
Pirkanmaan SHP;2020-08-01;
Päijät-Hämeen SHP;2020-08-01;
Kymenlaakson SHP;2020-08-01;
Etelä-Karjalan SHP;2020-08-01;
Etelä-Savon SHP;2020-08-01;
Itä-Savon SHP;2020-08-01;
Pohjois-Karjalan SHP;2020-08-01;
Pohjois-Savon SHP;2020-08-01;
Keski-Suomen SHP;2020-08-01;
Etelä-Pohjanmaan SHP;2020-08-01;
Vaasan SHP;2020-08-01;
Keski-Pohjanmaan SHP;2020-08-01;
Pohjois-Pohjanmaan SHP;2020-08-01;
Kainuun SHP;2020-08-01;
Länsi-Pohjan SHP;2020-08-01;
Lapin SHP;2020-08-01;
Helsingin ja Uudenmaan SHP;2020-08-01;
Kaikki Alueet;2020-08-01;
Ahvenanmaa;2020-08-02;
Varsinais-Suomen SHP;2020-08-02;
Satakunnan SHP;2020-08-02;
Kanta-Hämeen SHP;2020-08-02;
Pirkanmaan SHP;2020-08-02;
Päijät-Hämeen SHP;2020-08-02;
Kymenlaakson SHP;2020-08-02;
Etelä-Karjalan SHP;2020-08-02;
Etelä-Savon SHP;2020-08-02;
Itä-Savon SHP;2020-08-02;
Pohjois-Karjalan SHP;2020-08-02;
Pohjois-Savon SHP;2020-08-02;
Keski-Suomen SHP;2020-08-02;
Etelä-Pohjanmaan SHP;2020-08-02;
Vaasan SHP;2020-08-02;
Keski-Pohjanmaan SHP;2020-08-02;
Pohjois-Pohjanmaan SHP;2020-08-02;
Kainuun SHP;2020-08-02;
Länsi-Pohjan SHP;2020-08-02;
Lapin SHP;2020-08-02;
Helsingin ja Uudenmaan SHP;2020-08-02;
Kaikki Alueet;2020-08-02;
Ahvenanmaa;2020-08-03;
Varsinais-Suomen SHP;2020-08-03;
Satakunnan SHP;2020-08-03;
Kanta-Hämeen SHP;2020-08-03;
Pirkanmaan SHP;2020-08-03;
Päijät-Hämeen SHP;2020-08-03;
Kymenlaakson SHP;2020-08-03;
Etelä-Karjalan SHP;2020-08-03;
Etelä-Savon SHP;2020-08-03;
Itä-Savon SHP;2020-08-03;
Pohjois-Karjalan SHP;2020-08-03;
Pohjois-Savon SHP;2020-08-03;
Keski-Suomen SHP;2020-08-03;
Etelä-Pohjanmaan SHP;2020-08-03;
Vaasan SHP;2020-08-03;
Keski-Pohjanmaan SHP;2020-08-03;
Pohjois-Pohjanmaan SHP;2020-08-03;
Kainuun SHP;2020-08-03;
Länsi-Pohjan SHP;2020-08-03;
Lapin SHP;2020-08-03;
Helsingin ja Uudenmaan SHP;2020-08-03;
Kaikki Alueet;2020-08-03;
Ahvenanmaa;2020-08-04;
Varsinais-Suomen SHP;2020-08-04;
Satakunnan SHP;2020-08-04;
Kanta-Hämeen SHP;2020-08-04;
Pirkanmaan SHP;2020-08-04;
Päijät-Hämeen SHP;2020-08-04;
Kymenlaakson SHP;2020-08-04;
Etelä-Karjalan SHP;2020-08-04;
Etelä-Savon SHP;2020-08-04;
Itä-Savon SHP;2020-08-04;
Pohjois-Karjalan SHP;2020-08-04;
Pohjois-Savon SHP;2020-08-04;
Keski-Suomen SHP;2020-08-04;
Etelä-Pohjanmaan SHP;2020-08-04;
Vaasan SHP;2020-08-04;
Keski-Pohjanmaan SHP;2020-08-04;
Pohjois-Pohjanmaan SHP;2020-08-04;
Kainuun SHP;2020-08-04;
Länsi-Pohjan SHP;2020-08-04;
Lapin SHP;2020-08-04;
Helsingin ja Uudenmaan SHP;2020-08-04;
Kaikki Alueet;2020-08-04;
Ahvenanmaa;2020-08-05;
Varsinais-Suomen SHP;2020-08-05;
Satakunnan SHP;2020-08-05;
Kanta-Hämeen SHP;2020-08-05;
Pirkanmaan SHP;2020-08-05;
Päijät-Hämeen SHP;2020-08-05;
Kymenlaakson SHP;2020-08-05;
Etelä-Karjalan SHP;2020-08-05;
Etelä-Savon SHP;2020-08-05;
Itä-Savon SHP;2020-08-05;
Pohjois-Karjalan SHP;2020-08-05;
Pohjois-Savon SHP;2020-08-05;
Keski-Suomen SHP;2020-08-05;
Etelä-Pohjanmaan SHP;2020-08-05;
Vaasan SHP;2020-08-05;
Keski-Pohjanmaan SHP;2020-08-05;
Pohjois-Pohjanmaan SHP;2020-08-05;
Kainuun SHP;2020-08-05;
Länsi-Pohjan SHP;2020-08-05;
Lapin SHP;2020-08-05;
Helsingin ja Uudenmaan SHP;2020-08-05;
Kaikki Alueet;2020-08-05;
Ahvenanmaa;2020-08-06;
Varsinais-Suomen SHP;2020-08-06;
Satakunnan SHP;2020-08-06;
Kanta-Hämeen SHP;2020-08-06;
Pirkanmaan SHP;2020-08-06;
Päijät-Hämeen SHP;2020-08-06;
Kymenlaakson SHP;2020-08-06;
Etelä-Karjalan SHP;2020-08-06;
Etelä-Savon SHP;2020-08-06;
Itä-Savon SHP;2020-08-06;
Pohjois-Karjalan SHP;2020-08-06;
Pohjois-Savon SHP;2020-08-06;
Keski-Suomen SHP;2020-08-06;
Etelä-Pohjanmaan SHP;2020-08-06;
Vaasan SHP;2020-08-06;
Keski-Pohjanmaan SHP;2020-08-06;
Pohjois-Pohjanmaan SHP;2020-08-06;
Kainuun SHP;2020-08-06;
Länsi-Pohjan SHP;2020-08-06;
Lapin SHP;2020-08-06;
Helsingin ja Uudenmaan SHP;2020-08-06;
Kaikki Alueet;2020-08-06;
Ahvenanmaa;2020-08-07;
Varsinais-Suomen SHP;2020-08-07;
Satakunnan SHP;2020-08-07;
Kanta-Hämeen SHP;2020-08-07;
Pirkanmaan SHP;2020-08-07;
Päijät-Hämeen SHP;2020-08-07;
Kymenlaakson SHP;2020-08-07;
Etelä-Karjalan SHP;2020-08-07;
Etelä-Savon SHP;2020-08-07;
Itä-Savon SHP;2020-08-07;
Pohjois-Karjalan SHP;2020-08-07;
Pohjois-Savon SHP;2020-08-07;
Keski-Suomen SHP;2020-08-07;
Etelä-Pohjanmaan SHP;2020-08-07;
Vaasan SHP;2020-08-07;
Keski-Pohjanmaan SHP;2020-08-07;
Pohjois-Pohjanmaan SHP;2020-08-07;
Kainuun SHP;2020-08-07;
Länsi-Pohjan SHP;2020-08-07;
Lapin SHP;2020-08-07;
Helsingin ja Uudenmaan SHP;2020-08-07;
Kaikki Alueet;2020-08-07;
Ahvenanmaa;2020-08-08;
Varsinais-Suomen SHP;2020-08-08;
Satakunnan SHP;2020-08-08;
Kanta-Hämeen SHP;2020-08-08;
Pirkanmaan SHP;2020-08-08;
Päijät-Hämeen SHP;2020-08-08;
Kymenlaakson SHP;2020-08-08;
Etelä-Karjalan SHP;2020-08-08;
Etelä-Savon SHP;2020-08-08;
Itä-Savon SHP;2020-08-08;
Pohjois-Karjalan SHP;2020-08-08;
Pohjois-Savon SHP;2020-08-08;
Keski-Suomen SHP;2020-08-08;
Etelä-Pohjanmaan SHP;2020-08-08;
Vaasan SHP;2020-08-08;
Keski-Pohjanmaan SHP;2020-08-08;
Pohjois-Pohjanmaan SHP;2020-08-08;
Kainuun SHP;2020-08-08;
Länsi-Pohjan SHP;2020-08-08;
Lapin SHP;2020-08-08;
Helsingin ja Uudenmaan SHP;2020-08-08;
Kaikki Alueet;2020-08-08;
Ahvenanmaa;2020-08-09;
Varsinais-Suomen SHP;2020-08-09;
Satakunnan SHP;2020-08-09;
Kanta-Hämeen SHP;2020-08-09;
Pirkanmaan SHP;2020-08-09;
Päijät-Hämeen SHP;2020-08-09;
Kymenlaakson SHP;2020-08-09;
Etelä-Karjalan SHP;2020-08-09;
Etelä-Savon SHP;2020-08-09;
Itä-Savon SHP;2020-08-09;
Pohjois-Karjalan SHP;2020-08-09;
Pohjois-Savon SHP;2020-08-09;
Keski-Suomen SHP;2020-08-09;
Etelä-Pohjanmaan SHP;2020-08-09;
Vaasan SHP;2020-08-09;
Keski-Pohjanmaan SHP;2020-08-09;
Pohjois-Pohjanmaan SHP;2020-08-09;
Kainuun SHP;2020-08-09;
Länsi-Pohjan SHP;2020-08-09;
Lapin SHP;2020-08-09;
Helsingin ja Uudenmaan SHP;2020-08-09;
Kaikki Alueet;2020-08-09;
Ahvenanmaa;2020-08-10;
Varsinais-Suomen SHP;2020-08-10;
Satakunnan SHP;2020-08-10;
Kanta-Hämeen SHP;2020-08-10;
Pirkanmaan SHP;2020-08-10;
Päijät-Hämeen SHP;2020-08-10;
Kymenlaakson SHP;2020-08-10;
Etelä-Karjalan SHP;2020-08-10;
Etelä-Savon SHP;2020-08-10;
Itä-Savon SHP;2020-08-10;
Pohjois-Karjalan SHP;2020-08-10;
Pohjois-Savon SHP;2020-08-10;
Keski-Suomen SHP;2020-08-10;
Etelä-Pohjanmaan SHP;2020-08-10;
Vaasan SHP;2020-08-10;
Keski-Pohjanmaan SHP;2020-08-10;
Pohjois-Pohjanmaan SHP;2020-08-10;
Kainuun SHP;2020-08-10;
Länsi-Pohjan SHP;2020-08-10;
Lapin SHP;2020-08-10;
Helsingin ja Uudenmaan SHP;2020-08-10;
Kaikki Alueet;2020-08-10;
Ahvenanmaa;2020-08-11;
Varsinais-Suomen SHP;2020-08-11;
Satakunnan SHP;2020-08-11;
Kanta-Hämeen SHP;2020-08-11;
Pirkanmaan SHP;2020-08-11;
Päijät-Hämeen SHP;2020-08-11;
Kymenlaakson SHP;2020-08-11;
Etelä-Karjalan SHP;2020-08-11;
Etelä-Savon SHP;2020-08-11;
Itä-Savon SHP;2020-08-11;
Pohjois-Karjalan SHP;2020-08-11;
Pohjois-Savon SHP;2020-08-11;
Keski-Suomen SHP;2020-08-11;
Etelä-Pohjanmaan SHP;2020-08-11;
Vaasan SHP;2020-08-11;
Keski-Pohjanmaan SHP;2020-08-11;
Pohjois-Pohjanmaan SHP;2020-08-11;
Kainuun SHP;2020-08-11;
Länsi-Pohjan SHP;2020-08-11;
Lapin SHP;2020-08-11;
Helsingin ja Uudenmaan SHP;2020-08-11;
Kaikki Alueet;2020-08-11;
Ahvenanmaa;2020-08-12;
Varsinais-Suomen SHP;2020-08-12;
Satakunnan SHP;2020-08-12;
Kanta-Hämeen SHP;2020-08-12;
Pirkanmaan SHP;2020-08-12;
Päijät-Hämeen SHP;2020-08-12;
Kymenlaakson SHP;2020-08-12;
Etelä-Karjalan SHP;2020-08-12;
Etelä-Savon SHP;2020-08-12;
Itä-Savon SHP;2020-08-12;
Pohjois-Karjalan SHP;2020-08-12;
Pohjois-Savon SHP;2020-08-12;
Keski-Suomen SHP;2020-08-12;
Etelä-Pohjanmaan SHP;2020-08-12;
Vaasan SHP;2020-08-12;
Keski-Pohjanmaan SHP;2020-08-12;
Pohjois-Pohjanmaan SHP;2020-08-12;
Kainuun SHP;2020-08-12;
Länsi-Pohjan SHP;2020-08-12;
Lapin SHP;2020-08-12;
Helsingin ja Uudenmaan SHP;2020-08-12;
Kaikki Alueet;2020-08-12;
Ahvenanmaa;2020-08-13;
Varsinais-Suomen SHP;2020-08-13;
Satakunnan SHP;2020-08-13;
Kanta-Hämeen SHP;2020-08-13;
Pirkanmaan SHP;2020-08-13;
Päijät-Hämeen SHP;2020-08-13;
Kymenlaakson SHP;2020-08-13;
Etelä-Karjalan SHP;2020-08-13;
Etelä-Savon SHP;2020-08-13;
Itä-Savon SHP;2020-08-13;
Pohjois-Karjalan SHP;2020-08-13;
Pohjois-Savon SHP;2020-08-13;
Keski-Suomen SHP;2020-08-13;
Etelä-Pohjanmaan SHP;2020-08-13;
Vaasan SHP;2020-08-13;
Keski-Pohjanmaan SHP;2020-08-13;
Pohjois-Pohjanmaan SHP;2020-08-13;
Kainuun SHP;2020-08-13;
Länsi-Pohjan SHP;2020-08-13;
Lapin SHP;2020-08-13;
Helsingin ja Uudenmaan SHP;2020-08-13;
Kaikki Alueet;2020-08-13;
Ahvenanmaa;2020-08-14;
Varsinais-Suomen SHP;2020-08-14;
Satakunnan SHP;2020-08-14;
Kanta-Hämeen SHP;2020-08-14;
Pirkanmaan SHP;2020-08-14;
Päijät-Hämeen SHP;2020-08-14;
Kymenlaakson SHP;2020-08-14;
Etelä-Karjalan SHP;2020-08-14;
Etelä-Savon SHP;2020-08-14;
Itä-Savon SHP;2020-08-14;
Pohjois-Karjalan SHP;2020-08-14;
Pohjois-Savon SHP;2020-08-14;
Keski-Suomen SHP;2020-08-14;
Etelä-Pohjanmaan SHP;2020-08-14;
Vaasan SHP;2020-08-14;
Keski-Pohjanmaan SHP;2020-08-14;
Pohjois-Pohjanmaan SHP;2020-08-14;
Kainuun SHP;2020-08-14;
Länsi-Pohjan SHP;2020-08-14;
Lapin SHP;2020-08-14;
Helsingin ja Uudenmaan SHP;2020-08-14;
Kaikki Alueet;2020-08-14;
Ahvenanmaa;2020-08-15;
Varsinais-Suomen SHP;2020-08-15;
Satakunnan SHP;2020-08-15;
Kanta-Hämeen SHP;2020-08-15;
Pirkanmaan SHP;2020-08-15;
Päijät-Hämeen SHP;2020-08-15;
Kymenlaakson SHP;2020-08-15;
Etelä-Karjalan SHP;2020-08-15;
Etelä-Savon SHP;2020-08-15;
Itä-Savon SHP;2020-08-15;
Pohjois-Karjalan SHP;2020-08-15;
Pohjois-Savon SHP;2020-08-15;
Keski-Suomen SHP;2020-08-15;
Etelä-Pohjanmaan SHP;2020-08-15;
Vaasan SHP;2020-08-15;
Keski-Pohjanmaan SHP;2020-08-15;
Pohjois-Pohjanmaan SHP;2020-08-15;
Kainuun SHP;2020-08-15;
Länsi-Pohjan SHP;2020-08-15;
Lapin SHP;2020-08-15;
Helsingin ja Uudenmaan SHP;2020-08-15;
Kaikki Alueet;2020-08-15;
Ahvenanmaa;2020-08-16;
Varsinais-Suomen SHP;2020-08-16;
Satakunnan SHP;2020-08-16;
Kanta-Hämeen SHP;2020-08-16;
Pirkanmaan SHP;2020-08-16;
Päijät-Hämeen SHP;2020-08-16;
Kymenlaakson SHP;2020-08-16;
Etelä-Karjalan SHP;2020-08-16;
Etelä-Savon SHP;2020-08-16;
Itä-Savon SHP;2020-08-16;
Pohjois-Karjalan SHP;2020-08-16;
Pohjois-Savon SHP;2020-08-16;
Keski-Suomen SHP;2020-08-16;
Etelä-Pohjanmaan SHP;2020-08-16;
Vaasan SHP;2020-08-16;
Keski-Pohjanmaan SHP;2020-08-16;
Pohjois-Pohjanmaan SHP;2020-08-16;
Kainuun SHP;2020-08-16;
Länsi-Pohjan SHP;2020-08-16;
Lapin SHP;2020-08-16;
Helsingin ja Uudenmaan SHP;2020-08-16;
Kaikki Alueet;2020-08-16;
Ahvenanmaa;2020-08-17;
Varsinais-Suomen SHP;2020-08-17;
Satakunnan SHP;2020-08-17;
Kanta-Hämeen SHP;2020-08-17;
Pirkanmaan SHP;2020-08-17;
Päijät-Hämeen SHP;2020-08-17;
Kymenlaakson SHP;2020-08-17;
Etelä-Karjalan SHP;2020-08-17;
Etelä-Savon SHP;2020-08-17;
Itä-Savon SHP;2020-08-17;
Pohjois-Karjalan SHP;2020-08-17;
Pohjois-Savon SHP;2020-08-17;
Keski-Suomen SHP;2020-08-17;
Etelä-Pohjanmaan SHP;2020-08-17;
Vaasan SHP;2020-08-17;
Keski-Pohjanmaan SHP;2020-08-17;
Pohjois-Pohjanmaan SHP;2020-08-17;
Kainuun SHP;2020-08-17;
Länsi-Pohjan SHP;2020-08-17;
Lapin SHP;2020-08-17;
Helsingin ja Uudenmaan SHP;2020-08-17;
Kaikki Alueet;2020-08-17;
Ahvenanmaa;2020-08-18;
Varsinais-Suomen SHP;2020-08-18;
Satakunnan SHP;2020-08-18;
Kanta-Hämeen SHP;2020-08-18;
Pirkanmaan SHP;2020-08-18;
Päijät-Hämeen SHP;2020-08-18;
Kymenlaakson SHP;2020-08-18;
Etelä-Karjalan SHP;2020-08-18;
Etelä-Savon SHP;2020-08-18;
Itä-Savon SHP;2020-08-18;
Pohjois-Karjalan SHP;2020-08-18;
Pohjois-Savon SHP;2020-08-18;
Keski-Suomen SHP;2020-08-18;
Etelä-Pohjanmaan SHP;2020-08-18;
Vaasan SHP;2020-08-18;
Keski-Pohjanmaan SHP;2020-08-18;
Pohjois-Pohjanmaan SHP;2020-08-18;
Kainuun SHP;2020-08-18;
Länsi-Pohjan SHP;2020-08-18;
Lapin SHP;2020-08-18;
Helsingin ja Uudenmaan SHP;2020-08-18;
Kaikki Alueet;2020-08-18;
Ahvenanmaa;2020-08-19;
Varsinais-Suomen SHP;2020-08-19;
Satakunnan SHP;2020-08-19;
Kanta-Hämeen SHP;2020-08-19;
Pirkanmaan SHP;2020-08-19;
Päijät-Hämeen SHP;2020-08-19;
Kymenlaakson SHP;2020-08-19;
Etelä-Karjalan SHP;2020-08-19;
Etelä-Savon SHP;2020-08-19;
Itä-Savon SHP;2020-08-19;
Pohjois-Karjalan SHP;2020-08-19;
Pohjois-Savon SHP;2020-08-19;
Keski-Suomen SHP;2020-08-19;
Etelä-Pohjanmaan SHP;2020-08-19;
Vaasan SHP;2020-08-19;
Keski-Pohjanmaan SHP;2020-08-19;
Pohjois-Pohjanmaan SHP;2020-08-19;
Kainuun SHP;2020-08-19;
Länsi-Pohjan SHP;2020-08-19;
Lapin SHP;2020-08-19;
Helsingin ja Uudenmaan SHP;2020-08-19;
Kaikki Alueet;2020-08-19;
Ahvenanmaa;2020-08-20;
Varsinais-Suomen SHP;2020-08-20;
Satakunnan SHP;2020-08-20;
Kanta-Hämeen SHP;2020-08-20;
Pirkanmaan SHP;2020-08-20;
Päijät-Hämeen SHP;2020-08-20;
Kymenlaakson SHP;2020-08-20;
Etelä-Karjalan SHP;2020-08-20;
Etelä-Savon SHP;2020-08-20;
Itä-Savon SHP;2020-08-20;
Pohjois-Karjalan SHP;2020-08-20;
Pohjois-Savon SHP;2020-08-20;
Keski-Suomen SHP;2020-08-20;
Etelä-Pohjanmaan SHP;2020-08-20;
Vaasan SHP;2020-08-20;
Keski-Pohjanmaan SHP;2020-08-20;
Pohjois-Pohjanmaan SHP;2020-08-20;
Kainuun SHP;2020-08-20;
Länsi-Pohjan SHP;2020-08-20;
Lapin SHP;2020-08-20;
Helsingin ja Uudenmaan SHP;2020-08-20;
Kaikki Alueet;2020-08-20;
Ahvenanmaa;2020-08-21;
Varsinais-Suomen SHP;2020-08-21;
Satakunnan SHP;2020-08-21;
Kanta-Hämeen SHP;2020-08-21;
Pirkanmaan SHP;2020-08-21;
Päijät-Hämeen SHP;2020-08-21;
Kymenlaakson SHP;2020-08-21;
Etelä-Karjalan SHP;2020-08-21;
Etelä-Savon SHP;2020-08-21;
Itä-Savon SHP;2020-08-21;
Pohjois-Karjalan SHP;2020-08-21;
Pohjois-Savon SHP;2020-08-21;
Keski-Suomen SHP;2020-08-21;
Etelä-Pohjanmaan SHP;2020-08-21;
Vaasan SHP;2020-08-21;
Keski-Pohjanmaan SHP;2020-08-21;
Pohjois-Pohjanmaan SHP;2020-08-21;
Kainuun SHP;2020-08-21;
Länsi-Pohjan SHP;2020-08-21;
Lapin SHP;2020-08-21;
Helsingin ja Uudenmaan SHP;2020-08-21;
Kaikki Alueet;2020-08-21;
Ahvenanmaa;2020-08-22;
Varsinais-Suomen SHP;2020-08-22;
Satakunnan SHP;2020-08-22;
Kanta-Hämeen SHP;2020-08-22;
Pirkanmaan SHP;2020-08-22;
Päijät-Hämeen SHP;2020-08-22;
Kymenlaakson SHP;2020-08-22;
Etelä-Karjalan SHP;2020-08-22;
Etelä-Savon SHP;2020-08-22;
Itä-Savon SHP;2020-08-22;
Pohjois-Karjalan SHP;2020-08-22;
Pohjois-Savon SHP;2020-08-22;
Keski-Suomen SHP;2020-08-22;
Etelä-Pohjanmaan SHP;2020-08-22;
Vaasan SHP;2020-08-22;
Keski-Pohjanmaan SHP;2020-08-22;
Pohjois-Pohjanmaan SHP;2020-08-22;
Kainuun SHP;2020-08-22;
Länsi-Pohjan SHP;2020-08-22;
Lapin SHP;2020-08-22;
Helsingin ja Uudenmaan SHP;2020-08-22;
Kaikki Alueet;2020-08-22;
Ahvenanmaa;2020-08-23;
Varsinais-Suomen SHP;2020-08-23;
Satakunnan SHP;2020-08-23;
Kanta-Hämeen SHP;2020-08-23;
Pirkanmaan SHP;2020-08-23;
Päijät-Hämeen SHP;2020-08-23;
Kymenlaakson SHP;2020-08-23;
Etelä-Karjalan SHP;2020-08-23;
Etelä-Savon SHP;2020-08-23;
Itä-Savon SHP;2020-08-23;
Pohjois-Karjalan SHP;2020-08-23;
Pohjois-Savon SHP;2020-08-23;
Keski-Suomen SHP;2020-08-23;
Etelä-Pohjanmaan SHP;2020-08-23;
Vaasan SHP;2020-08-23;
Keski-Pohjanmaan SHP;2020-08-23;
Pohjois-Pohjanmaan SHP;2020-08-23;
Kainuun SHP;2020-08-23;
Länsi-Pohjan SHP;2020-08-23;
Lapin SHP;2020-08-23;
Helsingin ja Uudenmaan SHP;2020-08-23;
Kaikki Alueet;2020-08-23;
Ahvenanmaa;2020-08-24;
Varsinais-Suomen SHP;2020-08-24;
Satakunnan SHP;2020-08-24;
Kanta-Hämeen SHP;2020-08-24;
Pirkanmaan SHP;2020-08-24;
Päijät-Hämeen SHP;2020-08-24;
Kymenlaakson SHP;2020-08-24;
Etelä-Karjalan SHP;2020-08-24;
Etelä-Savon SHP;2020-08-24;
Itä-Savon SHP;2020-08-24;
Pohjois-Karjalan SHP;2020-08-24;
Pohjois-Savon SHP;2020-08-24;
Keski-Suomen SHP;2020-08-24;
Etelä-Pohjanmaan SHP;2020-08-24;
Vaasan SHP;2020-08-24;
Keski-Pohjanmaan SHP;2020-08-24;
Pohjois-Pohjanmaan SHP;2020-08-24;
Kainuun SHP;2020-08-24;
Länsi-Pohjan SHP;2020-08-24;
Lapin SHP;2020-08-24;
Helsingin ja Uudenmaan SHP;2020-08-24;
Kaikki Alueet;2020-08-24;
Ahvenanmaa;2020-08-25;
Varsinais-Suomen SHP;2020-08-25;
Satakunnan SHP;2020-08-25;
Kanta-Hämeen SHP;2020-08-25;
Pirkanmaan SHP;2020-08-25;
Päijät-Hämeen SHP;2020-08-25;
Kymenlaakson SHP;2020-08-25;
Etelä-Karjalan SHP;2020-08-25;
Etelä-Savon SHP;2020-08-25;
Itä-Savon SHP;2020-08-25;
Pohjois-Karjalan SHP;2020-08-25;
Pohjois-Savon SHP;2020-08-25;
Keski-Suomen SHP;2020-08-25;
Etelä-Pohjanmaan SHP;2020-08-25;
Vaasan SHP;2020-08-25;
Keski-Pohjanmaan SHP;2020-08-25;
Pohjois-Pohjanmaan SHP;2020-08-25;
Kainuun SHP;2020-08-25;
Länsi-Pohjan SHP;2020-08-25;
Lapin SHP;2020-08-25;
Helsingin ja Uudenmaan SHP;2020-08-25;
Kaikki Alueet;2020-08-25;
Ahvenanmaa;2020-08-26;
Varsinais-Suomen SHP;2020-08-26;
Satakunnan SHP;2020-08-26;
Kanta-Hämeen SHP;2020-08-26;
Pirkanmaan SHP;2020-08-26;
Päijät-Hämeen SHP;2020-08-26;
Kymenlaakson SHP;2020-08-26;
Etelä-Karjalan SHP;2020-08-26;
Etelä-Savon SHP;2020-08-26;
Itä-Savon SHP;2020-08-26;
Pohjois-Karjalan SHP;2020-08-26;
Pohjois-Savon SHP;2020-08-26;
Keski-Suomen SHP;2020-08-26;
Etelä-Pohjanmaan SHP;2020-08-26;
Vaasan SHP;2020-08-26;
Keski-Pohjanmaan SHP;2020-08-26;
Pohjois-Pohjanmaan SHP;2020-08-26;
Kainuun SHP;2020-08-26;
Länsi-Pohjan SHP;2020-08-26;
Lapin SHP;2020-08-26;
Helsingin ja Uudenmaan SHP;2020-08-26;
Kaikki Alueet;2020-08-26;
Ahvenanmaa;2020-08-27;
Varsinais-Suomen SHP;2020-08-27;
Satakunnan SHP;2020-08-27;
Kanta-Hämeen SHP;2020-08-27;
Pirkanmaan SHP;2020-08-27;
Päijät-Hämeen SHP;2020-08-27;
Kymenlaakson SHP;2020-08-27;
Etelä-Karjalan SHP;2020-08-27;
Etelä-Savon SHP;2020-08-27;
Itä-Savon SHP;2020-08-27;
Pohjois-Karjalan SHP;2020-08-27;
Pohjois-Savon SHP;2020-08-27;
Keski-Suomen SHP;2020-08-27;
Etelä-Pohjanmaan SHP;2020-08-27;
Vaasan SHP;2020-08-27;
Keski-Pohjanmaan SHP;2020-08-27;
Pohjois-Pohjanmaan SHP;2020-08-27;
Kainuun SHP;2020-08-27;
Länsi-Pohjan SHP;2020-08-27;
Lapin SHP;2020-08-27;
Helsingin ja Uudenmaan SHP;2020-08-27;
Kaikki Alueet;2020-08-27;
Ahvenanmaa;2020-08-28;
Varsinais-Suomen SHP;2020-08-28;
Satakunnan SHP;2020-08-28;
Kanta-Hämeen SHP;2020-08-28;
Pirkanmaan SHP;2020-08-28;
Päijät-Hämeen SHP;2020-08-28;
Kymenlaakson SHP;2020-08-28;
Etelä-Karjalan SHP;2020-08-28;
Etelä-Savon SHP;2020-08-28;
Itä-Savon SHP;2020-08-28;
Pohjois-Karjalan SHP;2020-08-28;
Pohjois-Savon SHP;2020-08-28;
Keski-Suomen SHP;2020-08-28;
Etelä-Pohjanmaan SHP;2020-08-28;
Vaasan SHP;2020-08-28;
Keski-Pohjanmaan SHP;2020-08-28;
Pohjois-Pohjanmaan SHP;2020-08-28;
Kainuun SHP;2020-08-28;
Länsi-Pohjan SHP;2020-08-28;
Lapin SHP;2020-08-28;
Helsingin ja Uudenmaan SHP;2020-08-28;
Kaikki Alueet;2020-08-28;
Ahvenanmaa;2020-08-29;
