Alue;Aika;val
Kanta-Hämeen SHP;2020-01-29;0
Pirkanmaan SHP;2020-01-29;0
Päijät-Hämeen SHP;2020-01-29;0
Kymenlaakson SHP;2020-01-29;0
Etelä-Karjalan SHP;2020-01-29;0
Etelä-Savon SHP;2020-01-29;0
Itä-Savon SHP;2020-01-29;0
Pohjois-Karjalan SHP;2020-01-29;0
Pohjois-Savon SHP;2020-01-29;0
Keski-Suomen SHP;2020-01-29;0
Etelä-Pohjanmaan SHP;2020-01-29;0
Vaasan SHP;2020-01-29;0
Keski-Pohjanmaan SHP;2020-01-29;0
Pohjois-Pohjanmaan SHP;2020-01-29;0
Kainuun SHP;2020-01-29;0
Länsi-Pohjan SHP;2020-01-29;0
Lapin SHP;2020-01-29;0
Helsingin ja Uudenmaan SHP;2020-01-29;0
Kaikki Alueet;2020-01-29;0
Ahvenanmaa;2020-01-30;0
Varsinais-Suomen SHP;2020-01-30;0
Satakunnan SHP;2020-01-30;0
Kanta-Hämeen SHP;2020-01-30;0
Pirkanmaan SHP;2020-01-30;0
Päijät-Hämeen SHP;2020-01-30;0
Kymenlaakson SHP;2020-01-30;0
Etelä-Karjalan SHP;2020-01-30;0
Etelä-Savon SHP;2020-01-30;0
Itä-Savon SHP;2020-01-30;0
Pohjois-Karjalan SHP;2020-01-30;0
Pohjois-Savon SHP;2020-01-30;0
Keski-Suomen SHP;2020-01-30;0
Etelä-Pohjanmaan SHP;2020-01-30;0
Vaasan SHP;2020-01-30;0
Keski-Pohjanmaan SHP;2020-01-30;0
Pohjois-Pohjanmaan SHP;2020-01-30;0
Kainuun SHP;2020-01-30;0
Länsi-Pohjan SHP;2020-01-30;0
Lapin SHP;2020-01-30;0
Helsingin ja Uudenmaan SHP;2020-01-30;0
Kaikki Alueet;2020-01-30;0
Ahvenanmaa;2020-01-31;0
Varsinais-Suomen SHP;2020-01-31;0
Satakunnan SHP;2020-01-31;0
Kanta-Hämeen SHP;2020-01-31;0
Pirkanmaan SHP;2020-01-31;0
